tephra_name,longitude,latitude,site,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,total,reference
Hekla 4 Tephra,-2.2,54.25,Fleet Moss,72.04,0.1,12.9,1.82,,0,1.17,4.12,3.03,,95.18,"Pilcher, J.R. and Hall, V.A. (1996) Tephrochronological studies in northern England. The Holocene  6 (1) 100-105"
Hekla 4 Tephra,-2.2,54.25,Fleet Moss,73.28,0.08,13.28,1.92,,0,1.32,4.68,2.65,,97.21,"Pilcher, J.R. and Hall, V.A. (1996) Tephrochronological studies in northern England. The Holocene  6 (1) 100-105"
Hekla 4 Tephra,-2.2,54.25,Fleet Moss,73.68,0.18,13.19,1.95,,0,1.32,4.71,2.58,,97.61,"Pilcher, J.R. and Hall, V.A. (1996) Tephrochronological studies in northern England. The Holocene  6 (1) 100-105"
Hekla 4 Tephra,-2.2,54.25,Fleet Moss,73.94,0.11,13.32,1.78,,0.03,1.33,4.83,2.56,,97.82,"Pilcher, J.R. and Hall, V.A. (1996) Tephrochronological studies in northern England. The Holocene  6 (1) 100-105"
Hekla 4 Tephra,-2.2,54.25,Fleet Moss,73.75,0.15,13.23,1.84,,0,1.12,4.39,3.07,,97.56,"Pilcher, J.R. and Hall, V.A. (1996) Tephrochronological studies in northern England. The Holocene  6 (1) 100-105"
Hekla 4 Tephra,-2.2,54.25,Fleet Moss,72.9,0.12,12.99,1.86,,0.06,1.2,3.95,3.13,,96.19,"Pilcher, J.R. and Hall, V.A. (1996) Tephrochronological studies in northern England. The Holocene  6 (1) 100-105"
Hekla 4 Tephra,-2.2,54.25,Fleet Moss,72.86,0.15,13.08,1.9,,0.04,1.19,4.27,3.1,,96.58,"Pilcher, J.R. and Hall, V.A. (1996) Tephrochronological studies in northern England. The Holocene  6 (1) 100-105"
Hekla 4 Tephra,-2.2,54.25,Fleet Moss,72.43,0.14,13.19,1.93,,0,1.34,3.82,3.12,,95.97,"Pilcher, J.R. and Hall, V.A. (1996) Tephrochronological studies in northern England. The Holocene  6 (1) 100-105"
Hekla 4 Tephra,-2.2,54.25,Fleet Moss,72.57,0.1,12.89,1.77,,0.03,0.96,4.26,2.86,,95.43,"Pilcher, J.R. and Hall, V.A. (1996) Tephrochronological studies in northern England. The Holocene  6 (1) 100-105"
Hekla 4 Tephra,-2.2,54.25,Fleet Moss,72.9,0.16,13.21,1.87,,0,1.22,4.33,3.02,,96.71,"Pilcher, J.R. and Hall, V.A. (1996) Tephrochronological studies in northern England. The Holocene  6 (1) 100-105"
Hekla 4 Tephra,-2.2,54.25,Fleet Moss,72.85,0.05,12.71,1.82,,0.05,1.06,4.07,3.06,,95.67,"Pilcher, J.R. and Hall, V.A. (1996) Tephrochronological studies in northern England. The Holocene  6 (1) 100-105"
Hekla 4 Tephra,-2.2,54.25,Fleet Moss,72.43,0.15,13.02,1.99,,0.05,1.36,4.69,2.6,,96.3,"Pilcher, J.R. and Hall, V.A. (1996) Tephrochronological studies in northern England. The Holocene  6 (1) 100-105"
Hekla 4 Tephra,-2.2,54.25,Fleet Moss,73.14,0.16,13.2,2.01,,0,1.31,4.5,2.68,,97.01,"Pilcher, J.R. and Hall, V.A. (1996) Tephrochronological studies in northern England. The Holocene  6 (1) 100-105"
Hekla 4 Tephra,-2.2,54.25,Fleet Moss,72.39,0.12,13,1.9,,0.04,1.27,4.19,2.88,,95.8,"Pilcher, J.R. and Hall, V.A. (1996) Tephrochronological studies in northern England. The Holocene  6 (1) 100-105"
Hekla 4 Tephra,-2.2,54.25,Fleet Moss,73.51,0.11,12.96,1.8,,0.04,1.22,4.06,3.15,,96.85,"Pilcher, J.R. and Hall, V.A. (1996) Tephrochronological studies in northern England. The Holocene  6 (1) 100-105"
Hekla 4 Tephra,-2.2,54.25,Fleet Moss,73.15,0.16,13.12,1.94,,0,1.32,4.38,2.61,,95.68,"Pilcher, J.R. and Hall, V.A. (1996) Tephrochronological studies in northern England. The Holocene  6 (1) 100-105"
Hekla 4 Tephra,-2.2,54.25,Fleet Moss,72.23,0.12,13.03,1.87,,0,1.27,4,2.88,,95.38,"Pilcher, J.R. and Hall, V.A. (1996) Tephrochronological studies in northern England. The Holocene  6 (1) 100-105"
Hekla 4 Tephra,-6.57,55.08,Garry Bog,72.25,0.14,12.86,2.05,,0.05,1.36,4.78,2.92,,96.4,"Pilcher, J.R., Hall, V.A. and McCormac, F.G. (1996) An outline tephrochronology for the Holocene of the north of Ireland. Journal of Quaternary Science  11 (6) 485-494."
Hekla 4 Tephra,-6.57,55.08,Garry Bog,74.06,0.16,13.21,2.06,,0,1.44,4.58,2.97,,98.49,"Pilcher, J.R., Hall, V.A. and McCormac, F.G. (1996) An outline tephrochronology for the Holocene of the north of Ireland. Journal of Quaternary Science  11 (6) 485-494."
Hekla 4 Tephra,-6.57,55.08,Garry Bog,72.2,0.13,12.59,1.92,,0.04,1.41,4.35,2.87,,95.51,"Pilcher, J.R., Hall, V.A. and McCormac, F.G. (1996) An outline tephrochronology for the Holocene of the north of Ireland. Journal of Quaternary Science  11 (6) 485-494."
Hekla 4 Tephra,-6.57,55.08,Garry Bog,72.55,0.14,12.65,2,,0.04,1.31,4.66,2.83,,96.17,"Pilcher, J.R., Hall, V.A. and McCormac, F.G. (1996) An outline tephrochronology for the Holocene of the north of Ireland. Journal of Quaternary Science  11 (6) 485-494."
Hekla 4 Tephra,-6.57,55.08,Garry Bog,73.15,0.17,12.97,1.95,,0.04,1.3,4.51,2.96,,97.05,"Pilcher, J.R., Hall, V.A. and McCormac, F.G. (1996) An outline tephrochronology for the Holocene of the north of Ireland. Journal of Quaternary Science  11 (6) 485-494."
Hekla 4 Tephra,-6.57,55.08,Garry Bog,72.63,0.13,12.86,1.96,,0.04,1.41,4.39,2.87,,96.29,"Pilcher, J.R., Hall, V.A. and McCormac, F.G. (1996) An outline tephrochronology for the Holocene of the north of Ireland. Journal of Quaternary Science  11 (6) 485-494."
Hekla 4 Tephra,-6.57,55.08,Garry Bog,73.81,0.18,13.14,2.09,,0.05,1.35,4.79,3.02,,98.41,"Pilcher, J.R., Hall, V.A. and McCormac, F.G. (1996) An outline tephrochronology for the Holocene of the north of Ireland. Journal of Quaternary Science  11 (6) 485-494."
Hekla 4 Tephra,-6.57,55.08,Garry Bog,73.69,0.15,12.79,1.99,,0.05,1.38,4.69,2.72,,97.46,"Pilcher, J.R., Hall, V.A. and McCormac, F.G. (1996) An outline tephrochronology for the Holocene of the north of Ireland. Journal of Quaternary Science  11 (6) 485-494."
Hekla 4 Tephra,-17.667,63.95,Kalfafell,61.37,0.71,14.66,8.98,0.29,0.67,4.42,4.72,1.58,,97.88,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,73.25,0.17,12.49,1.84,0.07,0.01,1.25,4.44,2.8,,96.31,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,73.17,0.09,12.69,1.91,0.05,0.02,1.26,4.52,2.83,,96.55,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,72.05,0.14,12.74,1.85,0.08,0.01,1.31,4.31,2.64,,95.13,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,75.81,0,13.15,1.85,0.08,0.04,1.2,4.07,1.82,,99.12,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,73.84,0.18,13.12,1.98,0.12,0.04,1.27,4.45,2.77,,97.77,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,72.77,0.07,12.57,1.8,0.06,0.02,1.24,3.87,2.88,,95.3,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,72.75,0.18,13.07,1.99,0.03,0.09,1.36,4.33,2.67,,96.49,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,75.61,0.09,12.46,1.81,0.05,0.05,1.25,3.94,2.99,,98.22,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,75.48,0.1,13.18,1.95,0.03,0.04,1.34,3.1,3.03,,98.25,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,76.7,0.08,12.56,1.63,0,0.03,1.23,4.51,2.78,,99.52,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,74.46,0.11,12.78,1.95,0.05,0.05,1.27,4.64,2.75,,98.06,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,71.45,0.26,14.19,3.73,0.17,0.05,2.27,3.81,2.33,,98.25,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,74.21,0.11,12.56,1.87,0.11,0.06,1.23,4.49,2.91,,97.55,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,72.55,0.09,12.9,1.87,0.08,0.02,1.3,4.46,2.88,,96.18,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,60.67,0.82,14.01,9.23,0.28,0.91,4.37,4.36,1.76,,96.4,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,74.3,0.14,12.9,1.9,0.11,0.05,1.27,4.56,2.8,,98.08,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,72.47,0.12,13.14,1.87,0.08,0,1.3,4.81,2.91,,96.71,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,72.22,0.08,12.71,1.96,0.1,0.04,1.39,4.74,2.93,,96.18,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,74.07,0.11,12.41,1.96,0.09,0.04,1.33,4.45,2.73,,97.19,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,71.8,0.16,12.87,1.88,0.09,0.04,1.34,4.99,2.82,,96,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,76.27,0.09,12.98,1.62,0.05,0.02,1.07,3.78,3,,98.87,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,75.06,0.14,12.87,1.86,0.08,0.04,1.27,4.23,2.73,,98.29,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,73.68,0.13,13.03,1.84,0.11,0.04,1.27,4.01,2.7,,96.82,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,73.08,0.1,12.62,1.96,0.07,0.02,1.3,4.5,2.86,,96.51,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,72.13,0.21,14.02,3.41,0.17,0.04,2.17,4.66,2.38,,99.21,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,71.7,0.19,13.39,2.66,0.13,0.06,1.69,3.78,2.48,,96.09,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,63.63,0.73,14.59,8.9,0.32,0.71,4.3,4.2,1.68,,99.06,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,72.86,0.15,12.06,1.92,0.07,0.07,1.3,4.3,2.99,,95.74,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,73.98,0.15,12.89,1.88,0.04,0.06,1.32,4.08,2.78,,97.17,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,73.11,0.13,12.97,1.85,0.05,0.04,1.17,4.54,2.79,,96.64,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,72.77,0.12,12.69,1.91,0.02,0.03,1.29,3.62,2.64,,95.11,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,76.7,0.11,12.89,1.6,0.04,0.05,1.26,4.46,2.86,,99.97,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,73.24,0.17,13.12,1.86,0.14,0.02,1.37,5.05,2.74,,97.71,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,72.35,0.1,12.95,1.53,0.07,0.1,1.09,4.94,2.83,,95.88,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,72.06,0.08,12.74,1.88,0.09,0,1.32,4.71,2.69,,95.57,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,74.83,0.2,12.6,1.94,0.09,0.02,1.23,4.47,2.83,,98.22,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,73.44,0.07,12.71,1.82,0.02,0.04,1.21,4.04,2.75,,96.1,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,72.99,0.1,12.56,1.93,0.07,0.06,1.35,4.07,2.72,,95.85,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,72.89,0.15,12.78,1.88,0.14,0.05,1.33,3.79,2.73,,95.73,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,64.49,0.64,14.47,8.32,0.31,0.52,4.08,4.22,1.78,,98.82,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,64.24,0.66,13.82,8.78,0.36,0.56,4.26,3.97,1.85,,98.51,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,76.03,0.09,12.66,1.65,0.04,0.01,1.17,4.29,2.87,,98.83,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,73.1,0.17,13.67,2.76,0.11,0.01,1.74,4.49,2.68,,98.74,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,72.44,0.11,12.47,1.99,0.06,0.08,1.28,4.28,2.7,,95.41,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,68.16,0.32,14.06,5.39,0.21,0.15,2.86,4.57,2.38,,98.1,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,61.03,0.09,14.19,9.13,0.31,0.97,5.26,5.08,1.21,,98.13,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,74.3,0.12,12.95,1.97,0.07,0.02,1.21,4.66,2.81,,98.12,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,72.24,0.1,12.5,1.89,0.09,0.57,1.19,4.14,2.72,,95.43,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,71.93,0.14,12.86,1.86,0.04,0.03,1.34,4.33,2.73,,95.26,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,73.26,0.06,12.89,1.94,0.08,0.04,1.25,4.59,2.85,,96.96,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,62.82,0.62,14.29,8.74,0.32,0.52,4.1,4.7,1.73,,97.83,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,73.2,0.11,12.8,1.93,0.1,0.03,1.23,4.38,2.64,,96.55,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,73.27,0.07,12.67,1.78,0.03,0,1.28,4.59,2.76,,96.45,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,73.18,0.13,12.67,1.94,0.05,0.01,1.24,4.63,2.91,,96.75,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,73.19,0.13,12.7,1.98,0.05,0.04,1.31,4.43,2.78,,96.6,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,73.12,0.17,12.89,1.96,0.13,0.03,1.33,4.63,2.77,,97.13,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,62.05,0.81,14.39,8.49,0.26,0.72,4.45,4.94,1.83,,97.94,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,73.76,0.14,13.02,1.93,0.09,0,1.3,3.55,2.95,,96.73,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,72.97,0.13,13.01,1.74,0.08,0,1.25,4.82,2.59,,96.6,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,71.64,0.1,12.9,1.76,0.05,0.05,1.26,4.54,2.84,,95.15,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,71.64,0.13,12.72,2.08,0.06,0.03,1.35,4.25,2.88,,95.5,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,75.54,0.09,13.24,1.92,0.07,0.03,1.38,4.25,1.76,,99.28,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,74.08,0.13,12.94,2.03,0.12,0.05,1.38,4.5,2.81,,98.01,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,73.95,0.11,13.07,1.93,0.06,0.04,1.23,4.17,2.85,,97.41,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,74.64,0.09,12.5,1.89,0.04,0.03,1.29,2.62,2.73,,95.84,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
Hekla 4 Tephra,-17.667,63.95,Kalfafell,74.93,0.12,12.94,1.94,0.04,0,1.25,4.51,2.97,,98.71,"Dugmore, A.J., Larsen, G., Newton, A.J., and Sugden, D.E. (1992) Geochemical stability of fine-grained silicic tephra layers in Iceland and Scotland. Journal of Quaternary Science  7 173-183"
